2026-04-15 10:15:16 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 10:21:26 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 10:22:14 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 10:23:51 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 10:31:24 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 10:31:46 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 10:34:55 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 10:35:19 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 10:37:13 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 10:37:43 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 10:39:04 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 10:44:25 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 10:45:16 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 10:49:17 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 10:49:33 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 10:50:35 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 10:51:34 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 10:58:34 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 10:58:55 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 11:00:40 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 11:01:00 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 11:10:22 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 13:45:20 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 14:03:12 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 14:04:23 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 14:06:00 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 14:06:49 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 14:09:55 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 15:22:50 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 15:24:42 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 15:25:38 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 15:26:35 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 15:33:47 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 15:35:20 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 15:36:21 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 15:45:19 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 15:46:10 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 15:47:21 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 15:47:57 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 17:15:05 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 17:18:03 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 17:20:58 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 17:27:49 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 17:30:21 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 17:31:13 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 17:32:46 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 17:34:07 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
2026-04-15 17:36:45 - libs.auxiliary - INFO: command:['ping', '-c', '1', '192.168.1.18']
